DBID,z,lbol,lbol_err,lr_g,lr_r,lr_i,tau_o_g,tau_o_r,tau_o_i,tau_o_gl,tau_o_rl,tau_o_il,tau_o_gu,tau_o_ru,tau_o_iu,tau_r_g,tau_r_r, tau_r_i,tau_r_gl,tau_r_rl,tau_r_il,tau_r_gu,tau_r_ru,tau_r_iu,lr_g_o,lr_r_o,lr_i_o,skewa_g,skewloc_g,skewscale_g,skewa_r,skewloc_r,skewscale_r,skewa_i,skewloc_i,skewscale_i
2481079.0,0.903699994,45.52480128464604,0.007158601965748801,2505.6469060429067,3273.0997634283754,4005.3579997017114,2.296872021395932,2.5117803491210533,2.7313852297045567,0.12721504939633643,0.15488463691723586,0.23977914180286897,0.1611161576535638,0.20953745372024457,0.3474547534383037,2.017273512860155,2.2321818405852762,2.451786721168779,0.12721504939633665,0.1548846369172363,0.23977914180286897,0.1611161576535638,0.20953745372024457,0.3474547534383041,2479.382263421912,3369.7536482736364,4115.669498709889,0.00322407446422407,2.3077994713132455,0.14496951772275152,0.003143618549805047,2.5295383807350658,0.18322708759068485,0.002606769941983271,2.76666300049297,0.2952539115721524
2483643.0,1.017699957,45.82280439085452,0.009512131866657114,2364.0779608739417,3088.169763984388,3779.0554406003785,3.0710577510685884,3.274850986631816,3.342140555551491,0.2343125987676582,0.2843521103555964,0.3018585109812184,0.4510964337239476,0.5493853529657757,0.5428218173807928,2.766201166326981,2.969994401890209,3.037283970809884,0.2343125987676582,0.2843521103555964,0.3018585109812184,0.4510964337239476,0.5493853529657757,0.5428218173807928,2339.2972694601685,3179.3627083870724,3883.134344538225,0.002270128303272493,3.1426948316853434,0.34461497036327265,0.0010376348643388726,3.3628483451976505,0.41919208797271423,3.229647889373041,2.9111349734832386,0.6858195135325071
2484948.0,1.484300017,46.1494688816629,0.005122612684910877,1920.0579508751018,2508.151172306658,3069.2750262940567,3.3211315154708205,3.8087994116211776,3.604844177348694,0.28450513548227274,0.3874253793870208,0.36880304920633344,0.5337302827510806,0.562693053911425,0.5812907282189652,2.9259274731371048,3.4135953692874623,3.2096401350149786,0.2845051354822723,0.38742537938702126,0.36880304920633344,0.533730282751081,0.5626930539114245,0.5812907282189652,1899.9315572600588,2582.216300810016,3153.8058794772373,15.036196601378908,2.883376040458611,0.6843717257097672,4.283504874533318,3.289464290626336,0.7701720146553679,0.002002691696778496,3.674910086081881,0.4776949345631246
2485925.0,1.38530004,45.859454973918986,0.010277552821662539,1999.7484257787546,2612.2499876367756,3196.662839950315,2.942514886091715,3.096534359891513,3.4739450201535105,0.20761731322259358,0.25271916603554345,0.33715711785069047,0.3800137243971915,0.4739346176956034,0.5762549118073474,2.5649718706314664,2.7189913444312643,3.0964020046932617,0.20761731322259358,0.252719166035543,0.33715711785069047,0.3800137243971915,0.4739346176956034,0.5762549118073479,1978.786702238097,2689.3891302663965,3284.702078821078,0.0026129321294652984,2.9993643875047615,0.2954535961894971,0.0021345741511069717,3.1696505979546084,0.3653522403100968,0.001579093256637618,3.5530656605240187,0.4592516056724141
2488726.0,1.881899953,46.5753985518937,0.012223552732283594,1655.158082442982,2162.1153064365244,2645.8239787479533,4.0621735047747825,3.991758373496371,4.136960269695072,0.4155647087030365,0.4071944934761529,0.39606732167403846,0.4940796019770026,0.5052127525538563,0.4484673783710127,3.6024946048458113,3.5320794735674004,3.6772813697661015,0.4155647087030361,0.4071944934761529,0.39606732167403935,0.49407960197700307,0.5052127525538563,0.44846737837101225,1637.8084170085692,2225.9620752351634,2718.692573572487,0.0020677379473964964,4.087590583355159,0.45735750618165943,0.0022901578565884865,4.023592865343064,0.45874681588167465,0.002255464799226829,4.153662809585672,0.4246213385309353
2489112.0,2.801100016,46.58278207825555,0.013592509034641154,1254.8998921158616,1639.2623119022924,2005.9982552166553,3.7352225814952,3.7783605138809877,3.8848383735540253,0.37929260808114895,0.38929981836981,0.39735786770663095,0.5723704930488136,0.5573449031620932,0.5203574328474092,3.155313284418947,3.1984512168047345,3.3049290764777726,0.37929260808114895,0.38929981836980954,0.39735786770663095,0.5723704930488136,0.5573449031620936,0.5203574328474088,1241.7458051964081,1687.6693517658812,2061.2454202783597,0.0021705295204642676,3.7987532205805525,0.47848407880443844,0.002032568510061182,3.83360365030697,0.47596081660274275,0.002261270145204759,3.925005734213599,0.4614156148576887
2489570.0,1.895099998,46.142744037085166,0.026347988665587962,1647.6114826068954,2152.257263757561,2633.7604936850266,3.0725455044632923,3.252697232809026,3.4967806466925246,0.25957771347560277,0.29153478243513753,0.4093916669847628,0.48247939769622494,0.5635940704636586,0.6419375691603095,2.6108819354224377,2.7910336637681707,3.03511707765167,0.25957771347560277,0.2915347824351371,0.4093916669847628,0.48247939769622494,0.5635940704636591,0.6419375691603095,1630.3409219925672,2215.812926818288,2706.2968482652045,0.00213859198673761,3.1462094373992575,0.37309684319523684,0.001219295594397966,3.3429653870740417,0.42994745110592547,0.0017384348838458655,3.5735627507443484,0.5285946540639659
2490370.0,0.485199988,45.14263418578443,0.015274509723379737,3211.688687409281,4195.394593552878,5133.9887298733265,2.824739419580969,3.4548223091585375,3.9191190449387316,0.41796777857941114,0.5186782897324527,0.4682777324934224,0.6339516081683305,0.6821409082595618,0.563303232254341,2.6529544825358258,3.283037372113394,3.7473341078935882,0.41796777857941114,0.5186782897324527,0.4682777324934224,0.6339516081683305,0.6821409082595618,0.563303232254341,3178.023187541259,4319.283633067199,5275.383829319018,0.0009302924443728945,2.8963414525174107,0.5288910132529648,0.0016346497947285705,3.5085223963767884,0.6037561987811462,0.0019422628294843412,3.9499904401245436,0.518665606780183
2490551.0,1.721500039,46.21366498362453,0.011453166113501112,1541.4943476751869,2013.6375849819894,2464.128805245975,2.9631740026786852,3.4754325751251973,3.3904486557763143,0.24627895593475335,0.3841641068553985,0.371219096693149,0.4688345225674615,0.6346071227873389,0.6491435473271423,2.5283656578020084,3.0406242302485205,2.9556403108996374,0.24627895593475335,0.3841641068553985,0.371219096693149,0.4688345225674615,0.6346071227873393,0.6491435473271419,1734.3376565720491,2357.1559463791727,2878.9270210258483,0.001981534917151292,3.0367907322230367,0.3595498500334118,22.542619000070182,2.9135352245967736,0.8486163242645414,0.0015102169321566244,3.4824719575876895,0.513024933118754
2491219.0,2.094399929,46.37931139163653,0.024979055926891647,1683.727530040598,2199.4352703737873,2691.4931690900544,3.3303890527284583,3.8433282542938456,3.719871667321587,0.3218293401958019,0.40253550616442,0.3746333433714164,0.6056761876938346,0.5573142676038771,0.5916579745552335,2.8398126102902963,3.3527518118556836,3.229295224883425,0.32182934019580234,0.40253550616442,0.3746333433714164,0.6056761876938341,0.5573142676038767,0.5916579745552331,1525.3361260014428,2073.0998407413676,2531.9933362757,0.001565847285213667,3.424422045277325,0.4663376253389936,0.0021113140037421554,3.894108198075087,0.4826001984013761,19.551996394447848,3.1810148047713147,0.8036986391491847
